Series ID,GROSS DOMESTIC PRODUCT: Percentage changes ; (A2304370T),GDP per capita: Chain volume measures - Percentage changes ; (A2304372W),GDP per hour worked: Index - Percentage changes ; (A2304392F),Gross value added per hour worked market sector: Index - Percentage changes ; (A3606054R),Gross value added per hour worked non-market sector: Index - Percentage changes ; (A130272205W),Terms of trade: Index - Percentage changes ; (A2304400V)
2015Q4,0.6,0.2,0.1,0.2,-0.7,-4.3
2016Q1,0.9,0.5,0.6,0.3,0.6,-2.2
2016Q2,0.7,0.2,0.8,1.2,-0.2,3.2
2016Q3,0.0,-0.4,-0.4,-0.1,-2.4,4.5
2016Q4,1.2,0.7,0.8,0.8,0.9,10.8
2017Q1,0.3,-0.1,-0.8,-0.4,-0.2,3.8
2017Q2,0.6,0.2,-0.1,-0.4,0.8,-4.3
2017Q3,0.9,0.6,0.4,0.5,-0.1,0.3
2017Q4,0.4,0.1,-0.3,-1.0,0.8,-0.2
2018Q1,1.0,0.7,0.9,1.7,-0.9,1.4
2018Q2,0.7,0.3,0.0,0.6,-0.1,0.5
2018Q3,0.4,0.0,-0.1,-0.7,1.4,1.5
2018Q4,0.2,-0.1,0.0,0.1,-0.1,2.1
2019Q1,0.7,0.4,-0.5,-1.0,0.9,1.2
2019Q2,0.3,0.0,0.5,1.6,-1.1,3.3
2019Q3,0.6,0.2,0.1,-0.2,1.5,1.0
2019Q4,0.6,0.2,0.6,0.0,1.4,-5.3
2020Q1,-0.2,-0.5,1.1,0.8,1.1,-0.1
2020Q2,-6.8,-6.9,1.4,2.9,-1.7,1.7
2020Q3,3.5,3.5,-0.9,-1.7,2.4,1.0
2020Q4,3.4,3.3,0.6,1.0,-1.0,3.5
2021Q1,2.2,2.2,1.2,0.3,1.3,6.9
2021Q2,0.8,0.6,-0.8,-0.8,1.5,10.2
2021Q3,-1.7,-1.8,0.9,2.6,-3.3,0.1
2021Q4,3.6,3.3,0.9,1.0,0.3,-7.4
2022Q1,1.0,0.6,0.8,-0.4,2.8,8.3
2022Q2,0.9,0.5,-2.3,-2.3,-1.2,8.3
2022Q3,0.5,-0.1,-1.1,-1.0,-0.7,-4.9
2022Q4,0.9,0.2,-1.1,-1.3,-1.6,-3.2
2023Q1,0.5,-0.1,-0.5,0.5,-2.8,1.8
2023Q2,0.4,-0.2,-1.3,-0.7,-2.0,-5.7
2023Q3,0.4,-0.3,1.3,0.8,2.5,-2.8
2023Q4,0.1,-0.4,0.5,0.8,1.0,2.5
2024Q1,0.3,-0.2,0.2,0.6,-1.4,-0.9
2024Q2,0.2,-0.2,-0.8,-0.5,-1.3,-2.5
2024Q3,0.3,-0.1,-0.5,-0.8,-0.1,-2.6
2024Q4,0.5,0.2,0.1,0.1,-0.2,1.1
2025Q1,0.4,0.0,0.2,0.3,-0.7,-0.7
2025Q2,0.7,0.3,0.4,0.6,0.3,-0.9
2025Q3,0.4,0.0,0.2,0.0,0.3,0.3
