Series ID,Underemployment rate (proportion of labour force) ;  Persons ;  15-64 years ; (A85256565A),Underutilisation rate ;  Persons ; (A85255726K)
2016-06-30,8.760395,14.4831791
2016-09-30,8.7351054,14.3677184
2016-12-31,8.7243043,14.4056743
2017-03-31,8.8785449,14.4399881
2017-06-30,8.7530202,14.0498266
2017-09-30,8.6643781,13.9760704
2017-12-31,8.6487107,14.0813953
2018-03-31,8.6678434,14.106989
2018-06-30,8.6164699,13.9343592
2018-09-30,8.4726732,13.2925091
2018-12-31,8.3865108,13.3158901
2019-03-31,8.4612203,13.2882194
2019-06-30,8.5395654,13.4787839
2019-09-30,8.4704745,13.518513
2019-12-31,8.5442333,13.3012422
2020-03-31,8.6030179,13.922482
2020-06-30,11.6789566,19.0459754
2020-09-30,11.2780379,18.1217615
2020-12-31,8.4864342,15.0834817
2021-03-31,8.0492045,13.5341264
2021-06-30,8.1035922,12.9383976
2021-09-30,9.3383593,13.7713611
2021-12-31,6.7153719,10.8724
2022-03-31,6.483273,10.3063284
2022-06-30,6.1767047,9.7442144
2022-09-30,6.0742387,9.6054757
2022-12-31,6.1342332,9.7161972
2023-03-31,6.2831873,9.8295279
2023-06-30,6.5096475,10.0042002
2023-09-30,6.6113395,9.9436278
2023-12-31,6.6764184,10.5615204
2024-03-31,6.7016601,10.3374242
2024-06-30,6.5554179,10.3963978
2024-09-30,6.3758083,10.2938362
2024-12-31,6.1377475,9.9499505
2025-03-31,6.0616381,9.939803
2025-06-30,6.0435165,10.2726596
2025-09-30,5.9830099,10.385755
2025-12-31,6.0032798,9.8067089
2026-03-31,6.0056886,9.9704478
