Series ID,Number of movements ;  Permanent and Long-term Departures ; (A85232558J)
2016-01,59270.0
2016-02,36380.0
2016-03,38380.0
2016-04,38900.0
2016-05,32060.0
2016-06,34700.0
2016-07,40760.0
2016-08,40380.0
2016-09,33150.0
2016-10,36120.0
2016-11,38500.0
2016-12,55730.0
2017-01,63600.0
2017-02,35930.0
2017-03,39970.0
2017-04,39930.0
2017-05,34220.0
2017-06,37440.0
2017-07,43260.0
2017-08,43770.0
2017-09,36010.0
2017-10,36050.0
2017-11,42630.0
2017-12,62380.0
2018-01,61690.0
2018-02,41440.0
2018-03,43270.0
2018-04,44210.0
2018-05,35310.0
2018-06,42290.0
2018-07,45140.0
2018-08,47800.0
2018-09,35450.0
2018-10,39610.0
2018-11,42170.0
2018-12,62930.0
2019-01,66690.0
2019-02,40740.0
2019-03,43670.0
2019-04,49870.0
2019-05,37780.0
2019-06,40720.0
2019-07,43390.0
2019-08,44080.0
2019-09,35490.0
2019-10,40040.0
2019-11,42520.0
2019-12,64680.0
2020-01,67590.0
2020-02,32390.0
2020-03,27380.0
2020-04,4240.0
2020-05,3150.0
2020-06,3490.0
2020-07,6540.0
2020-08,9370.0
2020-09,8850.0
2020-10,9480.0
2020-11,9100.0
2020-12,11030.0
2021-01,13860.0
2021-02,12600.0
2021-03,15150.0
2021-04,14040.0
2021-05,12490.0
2021-06,12680.0
2021-07,17380.0
2021-08,15640.0
2021-09,13620.0
2021-10,16500.0
2021-11,25350.0
2021-12,46030.0
2022-01,37670.0
2022-02,33740.0
2022-03,45490.0
2022-04,62760.0
2022-05,51680.0
2022-06,57520.0
2022-07,57990.0
2022-08,51030.0
2022-09,43420.0
2022-10,45210.0
2022-11,56650.0
2022-12,73830.0
2023-01,76200.0
2023-02,46420.0
2023-03,50930.0
2023-04,53490.0
2023-05,45630.0
2023-06,49120.0
2023-07,49920.0
2023-08,48550.0
2023-09,40520.0
2023-10,47550.0
2023-11,58400.0
2023-12,76690.0
2024-01,70080.0
2024-02,47620.0
2024-03,52420.0
2024-04,55410.0
2024-05,43770.0
2024-06,50270.0
2024-07,53170.0
2024-08,56990.0
2024-09,46770.0
2024-10,51890.0
2024-11,55560.0
2024-12,80750.0
2025-01,85160.0
2025-02,47870.0
2025-03,54320.0
2025-04,53060.0
2025-05,45050.0
2025-06,45930.0
2025-07,51120.0
2025-08,52960.0
2025-09,47880.0
2025-10,49100.0
2025-11,57030.0
2025-12,82580.0
